Date,"",Channel,Type,Location,Subs Before,Subs After,Subs Today,Uploads Before,Uploads Today
08/08/2017,"<img src= ""https://yt3.ggpht.com/-QfFnPZn6UC8/AAAAAAAAAAI/AAAAAAAAAAA/b8g0ExWhOtM/s88-c-k-no-mo-rj-c0xffffff/photo.jpg"">","<a href= ""https://www.youtube.com/channel/UClW4jraMKz6Qj69lJf-tODA""target=""_blank"">YoungBoy Never Broke Again</a>",Artist,USA,"357,149","362,086","380,884",99,111
08/09/2017,"<img src= ""https://yt3.ggpht.com/-CrTbuPXFXmk/AAAAAAAAAAI/AAAAAAAAAAA/OOoh4KmhIP0/s88-c-k-no-mo-rj-c0xffffff/photo.jpg"">","<a href= ""https://www.youtube.com/channel/UCc2-xT3ub5IhGoYae8-GjWA""target=""_blank"">Questions for Science</a>",Creator,USA,"53,616","58,741","64,795",50,51
08/10/2017,"<img src= ""https://yt3.ggpht.com/-qY-66wtd_54/AAAAAAAAAAI/AAAAAAAAAAA/49zpO8kvNzo/s88-c-k-no-mo-rj-c0xffffff/photo.jpg"">","<a href= ""https://www.youtube.com/channel/UCHCpzIojIqaV_NL2RUp237g""target=""_blank"">JonPardiVEVO</a>",Artist,USA,"159,058","159,828","160,928",34,34
08/11/2017,"<img src= ""https://yt3.ggpht.com/-NdFaDBCmdWY/AAAAAAAAAAI/AAAAAAAAAAA/Stcmql0LPtk/s88-c-k-no-mo-rj-c0xffffff/photo.jpg"">","<a href= ""https://www.youtube.com/channel/UC178kThBUvGNps5cabRP_2Q""target=""_blank"">The Dark Den</a>",Creator,USA,"37,947","41,322","46,183",126,127
08/12/2017,"<img src= ""https://yt3.ggpht.com/-R0r434WaRv0/AAAAAAAAAAI/AAAAAAAAAAA/eSUMh9HWobg/s88-c-k-no-mo-rj-c0xffffff/photo.jpg"">","<a href= ""https://www.youtube.com/channel/UCBTPbSYpsY9keVvoNKdJ_Vw""target=""_blank"">dejloafVEVO</a>",Artist,USA,"685,874","687,378","687,983",15,15
